source,config,base,metric,tau,m,sigma,qps,image,quality,bd_rate
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim03,ssim,-9.132917678974495
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim04,ssim,-6.156430216828335
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim05,ssim,-7.8513930816965
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim06,ssim,-6.0893863963503385
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim07,ssim,-6.635067735371292
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim08,ssim,-7.2088137315357015
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim09,ssim,-5.494443158207718
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim10,ssim,-6.964089116762184
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim11,ssim,-7.590955964253343
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim12,ssim,-6.014662369070933
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim01,ms_ssim,-5.071176729383442
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim02,ms_ssim,-4.637624614648594
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim03,ms_ssim,-7.8191798515946935
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim04,ms_ssim,-5.412756741896341
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim05,ms_ssim,-6.478599548329145
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim06,ms_ssim,-5.727364365592303
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim07,ms_ssim,-5.539243694432894
vvc_rdo_wd_wds0_20260901_130936,wwd_wds0_tau0.5_rdoq,wwd_wds0,wd,0.5,128,3.0,"27,32,37,42",kodim08,ms_ssim,-7.06780056403028
