set,metric,estimator,m,sigma,image,plane,n_tiles,neg_diag_frac,neg_eig_frac,neg_energy_frac,tiles_with_neg_frac,diag_dom_mean
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim11,1,1536,0.0024210611979166665,0.2878824869791667,0.10506419662598211,1.0,0.4857812419283281
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim11,2,1536,0.0031331380208333335,0.3063151041666667,0.10523419451713152,1.0,0.47189054336735897
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim12,0,6144,0.01807403564453125,0.2972157796223958,0.12690848188422052,1.0,0.4156324402807747
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim12,1,1536,0.007710774739583333,0.2966206868489583,0.14716552691940335,1.0,0.4720508148702755
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim12,2,1536,0.004831949869791667,0.304931640625,0.11646581233814177,1.0,0.4820061041424391
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim13,0,6144,0.0442047119140625,0.32353973388671875,0.17871809380220574,1.0,0.36331836582555327
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim13,1,1536,0.005015055338541667,0.311553955078125,0.13110844610706435,1.0,0.43790682004316595
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim13,2,1536,0.0015869140625,0.3137919108072917,0.10066684086898744,1.0,0.4543497570399657
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim14,0,6144,0.020968119303385418,0.29536692301432294,0.15685203476898152,1.0,0.40128099005641654
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim14,1,1536,0.0037638346354166665,0.289642333984375,0.11700912130955303,1.0,0.4707387108323466
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim14,2,1536,0.002777099609375,0.299957275390625,0.10580604451907015,1.0,0.4814692979494479
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim15,0,6144,0.023007710774739582,0.30503082275390625,0.12559584625728845,1.0,0.40168480855540567
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim15,1,1536,0.011728922526041666,0.3118082682291667,0.16598799742948014,1.0,0.44467595938176174
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim15,2,1536,0.012349446614583334,0.3202412923177083,0.1650132181447587,1.0,0.4412024633908727
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim16,0,6144,0.021776835123697918,0.29777272542317706,0.12737031313973438,1.0,0.4012088386248284
LPIPS_hb8m256,LPIPS,hutchblock,256,0.0,kodim16,1,1536,0.004567464192708333,0.2847391764322917,0.12166640351069008,1.0,0.46963512021186266
